Date,Open,High,Low,Close,Volume
11-Feb-16,444.00,467.78,441.01,461.39,1281260
10-Feb-16,443.99,453.80,442.50,448.81,992185
9-Feb-16,441.90,452.02,436.86,440.93,1108776
8-Feb-16,454.69,461.11,435.86,445.00,1425210
5-Feb-16,469.85,475.59,454.44,460.14,1522742
4-Feb-16,460.00,476.67,456.00,470.90,1487864
3-Feb-16,459.70,466.64,440.41,461.74,3797377
2-Feb-16,471.00,484.20,468.30,475.67,2085264
1-Feb-16,476.12,479.00,463.01,472.64,2327554
29-Jan-16,455.76,470.00,451.33,452.97,1524985
28-Jan-16,446.98,455.98,443.30,453.08,1016111
27-Jan-16,448.50,454.49,442.25,442.64,1312111
26-Jan-16,442.00,449.90,440.01,448.15,764082
25-Jan-16,447.92,448.92,431.52,442.17,1573827
22-Jan-16,466.22,466.33,446.70,450.76,1426730
21-Jan-16,469.79,475.59,461.00,461.20,1197957
20-Jan-16,462.75,472.79,451.09,465.50,1786954
19-Jan-16,478.36,478.37,456.10,469.47,2250361
15-Jan-16,441.15,476.43,441.15,475.94,3303863
14-Jan-16,447.00,463.51,436.50,454.30,3764940
13-Jan-16,407.80,432.30,406.65,428.28,3546225
12-Jan-16,415.50,420.80,399.14,404.26,1658424
11-Jan-16,416.65,419.92,406.35,411.10,1462535
8-Jan-16,419.84,426.29,411.74,413.29,1297183
7-Jan-16,415.08,425.18,411.61,416.00,1891978
6-Jan-16,437.94,447.00,423.00,426.67,3646881
5-Jan-16,450.00,459.88,446.80,449.03,2161255
4-Jan-16,468.70,469.00,447.50,448.81,2687115
31-Dec-15,483.11,485.78,477.97,479.85,1196568
30-Dec-15,490.00,492.99,482.80,485.79,1060813
29-Dec-15,494.10,497.24,489.03,489.94,866403
28-Dec-15,495.97,499.00,485.76,493.52,957113
24-Dec-15,498.87,501.98,494.30,495.10,894307
23-Dec-15,490.16,501.25,482.23,497.48,2457260
22-Dec-15,511.38,512.33,494.11,494.61,4564350
21-Dec-15,544.25,544.88,508.10,522.01,3097983
18-Dec-15,553.78,555.34,540.50,541.08,1506402
17-Dec-15,575.01,577.76,554.60,554.89,1144757
16-Dec-15,556.15,569.28,554.20,567.83,872049
15-Dec-15,560.13,564.55,553.57,554.86,915252
14-Dec-15,566.68,567.34,549.76,558.16,904055
11-Dec-15,563.00,572.00,562.42,565.00,1527691
10-Dec-15,564.00,579.52,563.31,575.43,2645685
9-Dec-15,546.60,560.67,543.24,548.01,2110367
8-Dec-15,532.11,550.00,521.01,542.24,4056081
7-Dec-15,516.83,553.32,515.00,551.75,4465773
4-Dec-15,558.89,568.76,537.17,561.20,2708454
3-Dec-15,577.95,578.65,558.51,565.31,1352001
2-Dec-15,582.84,586.58,571.52,574.66,690722
1-Dec-15,583.28,589.15,575.00,580.74,738286
30-Nov-15,577.50,584.23,577.03,579.55,622801
27-Nov-15,584.48,584.48,575.78,576.62,312803
25-Nov-15,584.71,585.80,570.10,580.83,1180720
24-Nov-15,557.02,579.28,553.16,577.79,1319799
23-Nov-15,534.08,569.03,532.03,559.29,3657593
20-Nov-15,612.00,614.70,534.20,536.19,4999208
19-Nov-15,595.41,614.70,595.01,611.51,1125296
18-Nov-15,583.89,594.00,580.78,594.00,515514
17-Nov-15,589.99,595.39,579.66,583.58,580874
16-Nov-15,591.23,593.85,583.07,588.74,838128
13-Nov-15,613.60,616.25,592.06,592.89,1212117
12-Nov-15,621.84,624.59,612.96,614.68,592973
11-Nov-15,631.53,632.98,619.35,621.84,596220
10-Nov-15,623.48,629.65,617.06,628.88,1088354
9-Nov-15,613.01,622.00,606.09,609.29,751915
6-Nov-15,609.00,613.49,594.00,612.40,1595391
5-Nov-15,616.73,619.18,609.46,617.23,834178
4-Nov-15,625.85,626.80,612.10,614.98,1216083
3-Nov-15,627.67,631.48,620.00,623.16,913452
2-Nov-15,610.00,631.00,608.52,624.00,2135343
30-Oct-15,648.00,653.27,640.05,640.23,643704
29-Oct-15,649.42,654.84,647.31,648.20,366760
28-Oct-15,656.89,658.76,652.49,654.89,500716
27-Oct-15,659.68,662.98,651.56,656.55,385003
26-Oct-15,646.64,668.36,645.95,659.69,671928
23-Oct-15,657.99,657.99,645.13,649.72,685530
22-Oct-15,666.46,669.11,650.21,650.62,802518
21-Oct-15,650.60,666.00,646.80,665.67,2007264
20-Oct-15,717.25,720.50,705.63,705.63,1518871
19-Oct-15,723.43,725.17,709.66,718.64,714519
16-Oct-15,728.00,728.24,720.06,722.70,347364
15-Oct-15,718.56,724.94,708.50,723.81,628585
14-Oct-15,739.00,742.40,710.91,718.56,961453
13-Oct-15,747.00,757.00,747.00,750.42,418479
12-Oct-15,734.57,750.50,729.20,747.82,433583
9-Oct-15,734.77,738.00,726.87,732.93,355305
